Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
TAB_NAME,TAB_SCHEMA,OBJ_TYPE,OWNER,OWNER_TYPE,TABLESPACE,INDEX_TABLESPACE,LONG_TABLESPACE,TABLE_ORG,DROP_RULE,VOLATILE
TABLE1,DCK66821,TABLE,DCK66821,USER,DCK66821SPACE1,,,R,NO, 
TABLE2,DCK66821,TABLE,DCK66821,USER,DCK66821SPACE1,,,R,NO, 
TABLE3,DCK66821,TABLE,DCK66821,USER,DCK66821SPACE1,,,R,NO, 
TABLE4,DCK66821,TABLE,DCK66821,USER,DCK66821SPACE1,,,R,NO, 
TEST,DCK66821,TABLE,DCK66821,USER,DCK66821SPACE1,,,R,NO, 
,,,,,,,,,,
ROW_COMP_MODE,PAGES_SAVED,COMPRESSION,DISTRIBUTION_TYPE,PARTITION_MODE,AVG_ROW_SIZE,STATUS,APPEND_MODE,ROW_COUNT,CREATE_TIME,LAST_USED
NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,76,NORMAL,OFF,11,2022-09-24 05:08:25:303656,25-09-2022
NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,47,NORMAL,OFF,4,2022-09-25 07:50:35:735734,25-09-2022
NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,54,NORMAL,OFF,2,2022-09-25 07:59:31:705877,25-09-2022
NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,53,NORMAL,OFF,1,2022-09-25 08:08:21:835963,25-09-2022
NONE,0,No compression is enabled, ,NO DATABASE PARTITIONING,25,NORMAL,OFF,9,2022-09-24 04:50:59:215723,25-09-2022
,,,,,,,,,,
ALTER_TIME,STATS_TIME,PCTFREE,DATA_CAPTURE,LOCK_SIZE,LOGGED,REMARKS,PRIMARY_KEY,FOREIGN_KEY,TEMPORAL_TYPE,
2022-09-24 05:08:25:303656,2022-09-25 08:03:44:047078,'-1,NONE,ROW,NO,,,,NO,
2022-09-25 07:50:35:735734,2022-09-25 09:12:04:958519,'-1,NONE,ROW,NO,,,,NO,
2022-09-25 07:59:31:705877,2022-09-25 09:12:07:815799,'-1,NONE,ROW,NO,,,,NO,
2022-09-25 08:08:21:835963,2022-09-25 08:13:39:831684,'-1,NONE,ROW,NO,,,,NO,
2022-09-24 04:50:59:215723,2022-09-25 07:36:48:633383,'-1,NONE,ROW,NO,,,,NO,
