Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
TAB_NAME,TAB_SCHEMA,OBJ_TYPE,OWNER,OWNER_TYPE,TABLESPACE,INDEX_TABLESPACE,LONG_TABLESPACE,TABLE_ORG,DROP_RULE,VOLATILE
EXCEL,ZTS87022,TABLE,ZTS87022,USER,ZTS87022SPACE1,,,R,NO, 
TABLE1,ZTS87022,TABLE,ZTS87022,USER,ZTS87022SPACE1,,,R,NO, 
TABLE2,ZTS87022,TABLE,ZTS87022,USER,ZTS87022SPACE1,,,R,NO, 
TABLE3,ZTS87022,TABLE,ZTS87022,USER,ZTS87022SPACE1,,,R,NO, 
TABLE4,ZTS87022,TABLE,ZTS87022,USER,ZTS87022SPACE1,,,R,NO, 
TEST,ZTS87022,TABLE,ZTS87022,USER,ZTS87022SPACE1,,,R,NO, 
,,,,,,,,,,
ROW_COMP_MODE,PAGES_SAVED,COMPRESSION,DISTRIBUTION_TYPE,PARTITION_MODE,AVG_ROW_SIZE,STATUS,APPEND_MODE,ROW_COUNT,CREATE_TIME,LAST_USED
NONE,'-1,No compression is enabled, ,NO DATABASE PARTITIONING,'-1,NORMAL,OFF,'-1,2022-09-25 06:19:35:548984,0001-01-01
NONE,'-1,No compression is enabled, ,NO DATABASE PARTITIONING,'-1,NORMAL,OFF,'-1,2022-09-22 17:09:41:256441,25-09-2022
NONE,'-1,No compression is enabled, ,NO DATABASE PARTITIONING,'-1,NORMAL,OFF,'-1,2022-09-22 17:13:43:632724,22-09-2022
NONE,'-1,No compression is enabled, ,NO DATABASE PARTITIONING,'-1,NORMAL,OFF,'-1,2022-09-22 17:20:01:568814,25-09-2022
NONE,'-1,No compression is enabled, ,NO DATABASE PARTITIONING,'-1,NORMAL,OFF,'-1,2022-09-22 17:21:49:006999,25-09-2022
NONE,'-1,No compression is enabled, ,NO DATABASE PARTITIONING,'-1,NORMAL,OFF,'-1,2022-09-22 14:35:12:598357,25-09-2022
,,,,,,,,,,
ALTER_TIME,STATS_TIME,PCTFREE,DATA_CAPTURE,LOCK_SIZE,LOGGED,REMARKS,PRIMARY_KEY,FOREIGN_KEY,TEMPORAL_TYPE,
2022-09-25 06:19:35:548984,,'-1,NONE,ROW,NO,,,,NO,
2022-09-22 17:09:41:256441,,'-1,NONE,ROW,NO,,,,NO,
2022-09-22 17:13:43:632724,,'-1,NONE,ROW,NO,,,,NO,
2022-09-22 17:20:01:568814,,'-1,NONE,ROW,NO,,,,NO,
2022-09-22 17:21:49:006999,,'-1,NONE,ROW,NO,,,,NO,
2022-09-22 14:35:12:598357,,'-1,NONE,ROW,NO,,,,NO,
